GCVI,GPP_mean (gC m-2 d-1)
1.647767087,2.735869565
2.693382967,5.147391304
1.777382747,3.55673913
1.897604833,3.874130435
2.006235386,3.44673913
1.369119224,2.44326087
2.409869798,4.009130435
2.34549126,4.051086957
1.82153038,3.806304348
2.648140858,4.934565217
2.301039716,3.605869565
2.099535311,3.910217391
2.440905846,4.979782609
1.88351157,3.87826087
3.032119741,4.124565217
1.372806434,3.529347826
2.097977792,4.459130435
2.095995792,4.072391304
1.967269621,4.644347826
2.461008401,3.355217391
1.624046235,4.998478261
1.964683564,3.855
3.055837174,5.569130435
1.527915389,3.335434783
1.795542491,4.850434783
1.638514217,3.993913043
1.159379341,3.615869565
1.759600658,4.748913043
1.636254602,5.455217391
1.359661886,3.990434783
1.368920288,3.285434783
3.284380535,4.075
1.54357897,3.532173913
1.522711981,1.593478261
1.727891662,3.463695652
1.602483768,4.290434783
1.927853823,1.670652174
1.389334011,4.12826087
1.273669281,4.849130435
1.870097964,3.375217391
3.327174496,4.592173913
1.96451414,3.647391304
1.809329945,4.908695652
1.368818962,3.35
2.209772427,4.613478261
3.286586774,7.64826087
2.248937184,4.184565217
2.025802639,4.518913043
1.723468567,4.094782609
1.886921553,4.244782609
2.44649211,5.258478261
1.963658772,3.732391304
1.473446639,5.106304348
2.792280476,8.975869565
-0.092852667,3.48826087
1.491154777,3.588695652
2.560071238,3.930652174
2.642079388,3.709782609
1.733569535,3.267173913
1.522996746,4.712173913
1.307800298,2.74326087
1.484266144,3.457608696
2.726535455,4.369565217
2.349520327,4.553043478
1.89119831,3.162608696
1.551969083,3.060434783
1.992395549,3.672826087
2.5414872,3.924130435
1.877481926,3.94173913
1.970326318,3.836086957
1.66817115,2.633695652
1.658854362,3.101956522
1.130251351,4.468478261
1.32236871,4.280869565
2.127018332,4.009782609
1.818684309,4.408913043
1.837727574,3.685217391
2.487304015,4.49173913
2.295113533,4.432391304
2.548666321,7.664565217
1.777370294,3.518478261
1.330088382,5.321956522
1.584579608,4.703913043
1.42036405,3.584130435
2.62012255,3.927391304
1.370465467,3.351956522
1.796238991,4.424565217
1.238326797,3.485
1.848374666,3.387826087
2.439740397,3.360434783
2.323382301,5.347391304
1.784451483,5.312608696
1.820478575,3.934347826
-0.077297054,1.016086957
1.680776073,4.213043478
2.044863222,3.769347826
2.093767638,3.624565217
1.713017833,3.796304348
1.541180479,3.23
1.459361299,3.728695652
3.228072534,4.631086957
2.679536232,4.694347826
1.410211303,3.455652174
1.660299671,2.757826087
1.88884384,9.555
1.586316142,4.081304348
2.71427483,3.639565217
3.072960902,4.375217391
1.827182365,4.800217391
2.378672829,4.04
1.761362616,3.24173913
1.575773236,4.213695652
2.727266385,4.644347826
1.44889237,3.295434783
1.710267885,3.833695652
1.637896051,3.639130435
1.286375861,3.241521739
2.043146755,3.247608696
1.854979858,4.588913043
1.766474504,3.440869565
1.372828294,3.264347826
1.220554163,2.956956522
1.475358143,2.799565217
3.163016976,6.921304348
1.816504768,3.498695652
2.193153115,4.49326087
1.709870024,4.309130435
2.428719314,6.202173913
1.846682589,3.733478261
1.784088224,4.754130435
2.97978578,4.613913043
2.552787225,5.02826087
1.781698663,4.271521739
1.585353811,3.218478261
1.230756703,4.245434783
1.367552412,5.237391304
0.250536433,1.767608696
2.052437243,3.867608696
1.776353733,3.597608696
2.066635216,2.938695652
1.404176298,3.611521739
2.284785347,3.656956522
3.904498362,3.656086957
1.745528848,3.737826087
1.960917183,3.457391304
2.016553816,2.689565217
1.768742196,3.403695652
1.847137104,3.627391304
3.089640181,4.029130435
1.822144725,3.733913043
1.029882234,3.520869565
1.585435587,4.750217391
1.852120501,3.443478261
1.81334402,3.034565217
2.356314965,3.868478261
2.257745645,7.180869565
3.899419891,4.463913043
