Year,Mo,Dy,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Total Deaths
2003,8,16,"CHINA:  NEI MONGOL:  LINDONG, TIANSHAN",43.77,119.643,24,5.4,4
2003,8,18,"CHINA:  TIBET (XIZANG PROVINCE): BOMI,MEDOG,NYINGCHI",29.573,95.605,33,5.5,
2003,8,21,"NEW ZEALAND:  DUNEDIN,INVERCARGILL,TE ANAU,FIORDLAND",-45.104,167.144,28,7.2,
2003,9,14,"ITALY:  LOIANO, MONGHIDORO, MONZUNO",44.329,11.45,10,5.3,
2003,9,20,JAPAN:  HONSHU:  TOKYO,34.998,140.172,52,5.7,
2003,9,21,MYANMAR (BURMA):  TAUNGDWINGYI; THAILAND:  BANGKOK,19.917,95.672,10,6.6,
2003,9,22,"DOMINICAN REPUBLIC:  PUERTO PLATA, SANTIAGO",19.777,-70.673,10,6.4,3
2003,9,25,JAPAN:  HOKKAIDO,41.815,143.91,27,8.3,2
2003,9,27,"RUSSIA:  KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",50.038,87.813,16,7.3,3
2003,9,29,RUSSIA:  KOSH-AGACH,50,87.89,10,4.4,
2003,9,29,NEW ZEALAND:  CHRISTCHURCH,-43.34,173.04,32,4.8,
2003,10,1,"RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",50.211,87.721,10,6.7,
2003,10,15,JAPAN:  NEAR S COAST HONSHU:  ATSUGI,35.457,139.871,78,5.2,
2003,10,16,"DOMINICAN REPUBLIC:   MOCA, SANTIAGO",19.761,-70.693,10,4.5,
2003,10,16,CHINA:  YUNNAN PROVINCE:  DAYAO,25.954,101.254,33,5.6,3
2003,10,25,"CHINA:  GANSU PROVINCE:  MINLE, SHANDAN",38.4,100.951,10,5.8,9
2003,10,31,JAPAN:  EAST COAST HONSHU,37.812,142.619,10,7,
2003,11,13,"CHINA:  GANSU PROVINCE:  JONE, LINTAN, MINXIAN",34.712,103.834,10,5.1,1
2003,11,14,"CHINA:  YUNNAN PROVINCE:  LUDIAN, ZHAOTONG",27.372,103.971,33,5.6,4
2003,11,17,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,33,7.8,
2003,11,18,PHILIPPINES:  SAMAR:  CAN-AVID,12.025,125.416,35,6.5,1
2003,11,26,CHINA:  YUNNAN PROVINCE:  LUDIAN,27.283,103.753,33,4.7,
2003,12,1,CHINA:  XINJIANG:  ZHAOSU,42.905,80.515,10,6,11
2003,12,5,"INDONESIA:  FLORES, RUTENG",-8.137,120.524,33,4.9,
2003,12,10,"TAIWAN:  T'AI-TUNG, KAO-HSIUN",23.039,121.362,10,6.8,
2003,12,11,IRAN:  WESTERN:  MASJED-E- SOLEYMAN,31.953,49.209,33,5,
2003,12,17,BULGARIA: POVADIYA,43.083,27.486,34,4.4,
2003,12,22,"CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",35.706,-121.102,8,6.6,2
2003,12,25,PANAMA-COSTA RICA:  PUERTO ARMUELLES,8.416,-82.824,33,6.5,2
2003,12,26,"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",28.995,58.311,10,6.6,31000
2003,12,27,NEW CALEDONIA:  LOYALTY ISLANDS,-22.015,169.766,10,7.3,
2004,1,1,"INDONESIA:  BALI, LOMBOK",-8.31,115.788,45,5.8,1
2004,1,1,"MEXICO:  GUERRERO, MEXICO CITY",17.488,-101.303,29,6.1,
2004,1,10,SLOVAKIA:  SLOVENSKO L'UPCA,48.758,19.217,5,2.2,
2004,1,10,"ALGERIA:  NORTHERN:  ALGIERS, BOUMERDES",36.852,3.418,10,4.4,
2004,1,14,IRAN:  SOUTHERN:  FIRUZABAD,27.695,52.397,12,5.2,
2004,1,28,INDONESIA:  SERAM,-3.12,127.4,17,6.7,
2004,2,4,PANAMA-COSTA RICA:  CHIRIQUI,8.358,-82.877,29,6.1,
2004,2,5,INDONESIA:  NABIRE,-3.615,135.538,17,7,37
2004,2,7,INDONESIA:  NABIRE,-4.003,135.023,10,7.3,
2004,2,11,"JORDAN:  MA'IN; ISRAEL:  JERUSALEM, PETAH-TIQWA",31.675,35.551,27,5.3,
2004,2,14,"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA",34.774,73.216,11,5.4,24
2004,2,16,INDONESIA:  SUMATRA:  PADANGPANJANG,-0.466,100.655,56,5.1,5
2004,2,22,INDONESIA:  SUMATRA:  PESISIR SELATAN,-1.559,100.488,42,6,
2004,2,24,BURUNDI:  RUYAGA,-3.393,29.558,10,4.7,3
2004,2,24,"MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH",35.142,-3.997,0,6.4,628
2004,3,1,GREECE:  SOUTHERN:  KALAMATA,37.136,22.116,9,5.2,
2004,3,24,"CHINA:  NEI MONGOL:  BAYAN UL HOT, ULIASTAI",45.382,118.256,19,5.4,
2004,3,25,TURKEY:  ERZURUM,39.93,40.812,,5.6,10
2004,3,28,TURKEY:  ASKALE,39.847,40.874,5,5.6,
2004,4,5,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.512,71.029,187,6.5,3
2004,4,9,INDONESIA:  SUMATRA:  PADANG,-1.549,100.54,66,5.4,
2004,4,16,INDONESIA:  BALI,-8.669,114.65,96,5.5,
2004,4,23,INDONESIA:  TIMOR: KUPANG,-9.362,122.839,66,6.7,
2004,5,1,TAIWAN:  HUALIEN: TAROKO GORGE NATIONAL PARK,24.081,121.611,45,5.2,2
2004,5,3,CHILE: CANETE,-37.695,-73.406,21,6.6,
2004,5,4,CHINA:  QINGHAI PROVINCE:  DELINGHA,37.506,96.758,14,5.4,
2004,5,8,IRAN:  KAZERUN,29.881,51.474,67,5,
2004,5,8,PAKISTAN:  QUETTA,30.126,67.121,10,4.5,1
2004,5,19,PHILIPPINES:  BOHOL ISLAND:  TUBIGON,9.926,124.038,35,4.1,
2004,5,28,"IRAN:  MAZANDARAN, QAZVIN, TEHRAN",36.29,51.61,17,6.3,35
2004,5,30,"RUSSIA:  SAKHALIN, YUZHNO, SAKHALINSK",47.311,142.12,14,4.9,
2004,6,9,SAUDI ARABIA: WESTERN,27.836,36.905,10,4.6,
2004,6,15,"CHILE: CARAHUE, IMPERIAL, TEMUCO",-38.854,-73.155,38,5.9,
2004,7,1,TURKEY:  DOGUBEYAZIT,39.766,43.979,5,5.1,18
2004,7,12,"SLOVENIA: BOVEC, KOBARID",46.296,13.641,8,5.2,1
2004,7,14,AFGHANISTAN: HERAT,34.89,61.852,,4.6,
2004,7,18,"NEW ZEALAND:  NORTH ISLAND:  ROTORUA, TAURANGA",-38,176.51,5,5.4,1
2004,7,18,AFGHANISTAN: PAKTIA PROVINCE,33.426,69.524,10,5.2,2
2004,7,30,TURKEY:  DOGUBEYAZIT,39.634,43.966,5,4,1
2004,8,4,TURKEY:  BODRUM,36.833,27.815,10,5.6,
2004,8,10,CHINA:  YUNNAN PROVINCE:  LUDIAN,27.266,103.873,6,5.4,4
2004,8,11,"TURKEY:  ELAZIG, SIVRICE",38.377,39.261,7,5.7,1
2004,9,5,JAPAN:  HONSHU:  W COAST: KYOTO,33.07,136.618,14,7.2,
2004,9,5,"JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI",33.184,137.071,10,7.4,
2004,9,7,ARGENTINA: CATAMARCA,-28.573,-65.84,22,6.1,1
2004,9,7,CHINA:  GANSU PROVINCE,34.682,103.781,10,5.2,
2004,9,21,"POLAND: SUWALKI; RUSSIA: KALININGRAD, SVETLOGORSK",54.841,19.912,10,4.8,
2004,9,28,"CALIFORNIA:  CENTRAL: PARKFIELD, SAN MIGUEL",35.819,-120.364,9,6,
2004,10,1,"NICARAGUA:  CHINANDEGA, LEON",11.989,-86.52,87,5.6,
2004,10,7,IRAN:  GOLESTAN,37.125,54.477,35,5.6,
2004,10,15,TAIWAN:  T'AO-YUAN,24.53,122.694,94,6.6,
2004,10,18,CHINA:  YUNNAN PROVINCE:  BAOSHAN,25.073,99.169,30,4.4,
2004,10,23,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.226,138.779,16,6.6,40
2004,10,27,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.284,138.885,14,5.9,
2004,10,27,"ROMANIA:  BUCHAREST, BRAILA; BULGARIA:  NORTHERN",45.787,26.622,96,5.8,
2004,11,2,CANADA:  VANCOUVER ISLAND,49.277,-128.772,10,6.6,
2004,11,4,GREECE:  CRETE:  ANTIKYTHIRA,35.945,23.115,74,5.2,
2004,11,8,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.396,138.862,10,5.5,
2004,11,11,INDONESIA:  KEPULAUAN ALOR,-8.152,124.868,10,7.5,34
2004,11,15,"COLOMBIA:  BAJO BAUDO, BUENAVENTURA, CERRITO",4.695,-77.508,15,7.2,
2004,11,19,IRAN:  W,32.023,48.836,37,4.8,
2004,11,20,"COSTA RICA:  SAN JOSE, PARRITA, QUEPOS",9.602,-84.172,16,6.4,8
2004,11,21,"GUADELOUPE:  BASSE-TERRE, LES SAINTES",15.679,-61.706,14,6.3,1
2004,11,22,"IRAN:  KHORRAMABAD, POL-E DOKHTAR",33.297,47.977,36,5,
2004,11,22,"NEW ZEALAND:  INVERCARGILL, SOUTHLAND, OTAGO",-46.676,164.721,10,7.1,
